category,website,affiliate_link,brand,image,price,name
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//institut-esthederm-adaptasun-body-milk-normalstrong-sun.html#c=6-category,Institut Esthederm,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£42.50,ADAPTASUN Body Milk Normal Skin Normal/Strong Sun
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//institut-esthederm-sun-intolerance-treatment-body-spray.html#c=7-category,Institut Esthederm,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£47.00,Sun Intolerance Treatment Body Spray
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//caudalie-polyphenol-c15-overnight-detox-oil.html#c=7-category,Caudalie,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£29.00,Polyphenol C15 Overnight Detox Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//caudalie-polyphenol-c15-anti-wrinkle-eye-and-lip-cream.html#c=7-category,Caudalie,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£26.00,Polyphenol C15 Anti-Wrinkle Eye And Lip Cream
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-jacksons-01-day-skin-cream.html#c=8-category,Dr. Jackson's,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£40.00,01 Day Skin Cream
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//glamglow-super-mud-clearing-treatment.html#c=8-category,GLAMGLOW,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£44.99,SUPERMUD Clearing Treatment
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-hi-vitamin-c-serum.html#c=8-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£75.00,Hi-Vitamin C Serum (12%)
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-spotlight-papaya-resurfacing-peel.html#c=9-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£65.00,Spotlight Papaya Resurfacing Peel
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-triple-action-exfoliator.html#c=9-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£42.00,Triple Action Exfoliator
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-ginseng-therapy-moisture-mask.html#c=9-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£36.00,Ginseng Therapy Moisture Mask
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//aesop-primrose-facial-cleansing-masque.html#c=10-category,Aesop,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£33.00,Primrose Facial Cleansing Masque
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-jacksons-04-coconut-melt.html#c=10-category,Dr. Jackson's,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£10.00,04 Coconut Melt
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//oskia-bedtime-beauty-boost.html#c=10-category,Oskia,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£74.00,Bedtime Beauty Boost
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//caudalie-polyphenols-c15-anti-wrinkle-defense-serum.html#c=11-category,Caudalie,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£35.00,Polyphenol C15 Anti-Wrinkle Defense Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//mv-organic-skincare-instant-revival-booster.html#c=11-category,MV Organic Skincare,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£59.00,Instant Revival Booster
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dna-renewal-dna-regeneration-serum.html#c=11-category,DNA Renewal,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£85.00,DNA Regeneration Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//mv-organic-skincare-pure-jojoba.html#c=12-category,MV Organic Skincare,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£28.00,Pure Jojoba
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//mv-organic-skincare-travel-essentials.html#c=12-category,MV Organic Skincare,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£81.00,Travel Essentials for Sensitive Skin
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//pixi-glow-mud-cleanser.html#c=12-category,Pixi,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£18.00,Glow Mud Cleanser
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//african-botanics-pure-marula-cleansing-oil.html#c=13-category,African Botanics,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£48.00,Pure Marula Cleansing Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//elemis-papaya-enzyme-peel.html#c=13-category,Elemis,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£32.00,Papaya Enzyme Peel
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//foreo-luna-mini-petal-pink.html#c=13-category,Foreo,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£99.00,LUNA Mini - Petal Pink
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//african-botanics-neroli-infused-marula-oil.html#c=14-category,African Botanics,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£60.00,Neroli Infused Marula Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//de-mamiel-autumn-facial-oil.html#c=14-category,de Mamiel,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£67.00,Autumn Facial Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//de-mamiel-winter-facial-oil.html#c=14-category,de Mamiel,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£67.00,Winter Facial Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//omorovicza-illuminating-moisturiser.html#c=15-category,Omorovicza,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£85.00,Illuminating Moisturiser
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//emma-hardie-amazing-face-dual-action-cleansing-cloths-x-3.html#c=15-category,Emma Hardie Amazing Face,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£14.00,Dual Action Cleansing Cloths x 3
